price,bedrooms,bathrooms,rooms,sqft_living,floors
930000,3,3.25,6.25,2640,2
349000,3,1.75,4.75,1590,1
835000,4,2,6,1910,1.5
988500,3,2.75,5.75,2015,2
500000,3,1.75,4.75,1410,3
499000,2,1.5,3.5,1110,2
321950,2,1.25,3.25,860,2
494000,3,2.5,5.5,2310,2
441750,2,1.5,3.5,1020,3
438000,2,1,3,980,2
985000,4,2.25,6.25,4230,2
352000,3,2.25,5.25,1640,1
839900,4,3.5,7.5,3810,1
765000,4,2.75,6.75,2790,2
460000,4,1.75,5.75,1750,1.5
224500,4,1,5,1430,1.5
254000,3,2.5,5.5,1850,2
255000,2,1,3,960,1
610000,3,3,6,2480,1
920000,4,3,7,3750,2
402500,4,2.5,6.5,2600,2
280950,3,1.75,4.75,1390,1
604000,4,2.5,6.5,2260,2
565000,4,2.25,6.25,2470,2
255000,2,1,3,810,1
445000,4,2,6,1650,1
2400000,3,2.25,5.25,3000,1.5
195000,2,1,3,720,1
275000,3,1.5,4.5,1390,1
387000,3,2.25,5.25,1445,2
490000,2,1,3,1840,1.5
505000,3,2.5,5.5,2100,2
303500,3,1.5,4.5,1060,1
270000,3,1.5,4.5,1500,1
323000,4,2.75,6.75,1970,1
382000,3,3.25,6.25,1410,3
1370000,4,2.75,6.75,3720,1
280000,4,2,6,2190,1
260000,3,2,5,1920,1
201500,3,1,4,1160,1
1157200,4,4.25,8.25,5860,2
536500,4,1.75,5.75,2000,1.5
248000,4,3,7,2163,2
532000,5,3,8,3480,1
580000,4,2.5,6.5,2840,2
463000,2,1,3,1150,1
742500,4,2.75,6.75,3100,2
260000,3,2.5,5.5,1420,1
590000,4,2.25,6.25,2430,1
312000,4,2.25,6.25,1930,1
566000,3,2.25,5.25,1660,1
511555,3,2,5,1400,1
583000,4,2.5,6.5,2660,2
290000,4,2.5,6.5,2000,1
311100,4,2.25,6.25,2130,1
325000,3,2.25,5.25,1352,3
491300,3,1.75,4.75,1750,1
315000,5,1.75,6.75,2320,1
360000,2,1,3,1420,1
330000,4,2.5,6.5,1940,2
481450,3,2,5,1410,1
234950,3,1,4,1360,1
251000,3,1.75,4.75,1220,1
782000,4,2.5,6.5,2830,2
833000,4,2.75,6.75,3780,2
542500,4,2.5,6.5,2330,2
851000,3,2.5,5.5,3560,2
325000,4,1.5,5.5,1470,1
415000,4,2.25,6.25,3060,2
252500,3,1,4,1030,1
465000,4,2.5,6.5,1930,1
336900,3,1.75,4.75,1780,1
225000,3,2.5,5.5,2000,2
270000,3,2,5,1690,1
1702500,5,4.5,9.5,5190,2
536000,3,1.75,4.75,1300,1.5
585000,4,3.25,7.25,2400,2
445000,2,2,4,1150,1
320000,4,2.25,6.25,2310,2
769900,4,3.5,7.5,2730,2
557000,4,2.5,6.5,2840,2
212000,2,1.5,3.5,1020,2
376000,3,2,5,1340,3
800000,4,3.25,7.25,3540,2
2238888,5,6.5,11.5,7270,2
324000,3,2.25,5.25,998,2
549900,5,2.75,7.75,3060,1
320000,3,2.5,5.5,2130,2
875000,4,2,6,2520,1
265000,4,1,5,1940,1
394950,3,2.5,5.5,1350,3
842500,4,2.5,6.5,2160,2.5
368000,3,2.5,5.5,1370,2
1225000,4,4.5,8.5,5420,1
885000,4,2.5,6.5,2830,2
453246,3,2.5,5.5,2010,2
927000,4,2.75,6.75,3300,2
490000,2,2.5,4.5,1230,2
341000,3,1.5,4.5,1720,1.5
235000,1,1,2,810,1
1200000,3,1.75,4.75,1560,1.5
560000,3,2,5,2560,1
900000,4,3.25,7.25,4700,2
255000,2,1,3,1220,1
1575000,5,2.75,7.75,3650,1
876650,3,3.25,6.25,2170,1.5
540000,4,2.25,6.25,2540,1
350000,2,1,3,910,1.5
750000,4,2.5,6.5,2980,2
582000,4,1.75,5.75,2120,1
1315000,4,3.5,7.5,3460,2
372500,5,3,8,2480,1
410000,3,2.25,5.25,2200,2
360000,4,2,6,1730,1
1015000,3,2.5,5.5,2920,1
225000,3,1,4,990,1
647000,4,2.5,6.5,3040,2
950000,5,3,8,4530,1.5
185000,3,1.5,4.5,1370,1
335000,3,2.5,5.5,1940,2
210000,3,2.5,5.5,1040,2
522000,4,2.25,6.25,1800,1
770000,3,1.75,4.75,1720,1
499950,3,1,4,980,1
751000,4,2.5,6.5,3110,2
330000,5,3,8,2100,1
465000,3,1.5,4.5,2020,1
850000,4,1.75,5.75,2350,1
947500,4,2.25,6.25,3290,1.5
302000,5,2.25,7.25,2180,2
500000,2,2.25,4.25,1290,3
201000,3,1,4,1460,1
265000,2,1,3,1290,2
870300,4,2.5,6.5,2350,1.5
339000,3,1,4,1080,1
690000,4,2.5,6.5,2670,2
788000,4,3.25,7.25,3680,2
315275,3,1.75,4.75,1440,1
505000,4,1.75,5.75,1940,1
368000,3,1,4,1280,1
947500,3,2.75,5.75,2980,1.5
156000,3,1,4,970,1
610000,4,3,7,2110,1.5
420000,2,2.5,4.5,1480,3
192000,2,1,3,700,1
910000,3,2,5,2700,1
1300000,4,3.25,7.25,2330,2
1346400,5,1.75,6.75,3380,1
840000,4,2.75,6.75,2600,1.5
300000,2,1.75,3.75,1360,1
505000,4,2.5,6.5,2780,1
110000,3,1,4,1250,1
746000,3,2.5,5.5,2620,2
211000,3,1.5,4.5,1350,1
675000,4,3,7,2400,1
734200,4,2.5,6.5,2760,1.5
1225000,4,2.25,6.25,3070,1
615000,2,1.75,3.75,2040,1.5
630000,4,2,6,1770,2
1264000,4,3.75,7.75,3490,2
301500,2,1.5,3.5,830,2
369000,2,2.5,4.5,980,2
635000,3,2.5,5.5,1570,3
1033888,4,3.25,7.25,3270,2
383000,4,2.5,6.5,2160,2
1050000,4,3.75,7.75,3280,2
455000,4,2.5,6.5,3360,2
819900,5,2.75,7.75,3150,2
625000,3,3.5,6.5,1810,2
651000,4,2.5,6.5,2740,2
480000,5,4.75,9.75,3830,1
757000,3,3.25,6.25,3190,2
460000,3,2.25,5.25,2350,1
267345,4,2.25,6.25,2510,1
530000,2,2,4,1680,1
449500,3,2,5,1770,1
289000,3,1,4,1090,1
373000,5,2.5,7.5,3001,2
525000,5,3,8,2450,2
777000,3,3.25,6.25,3610,2
550000,4,2,6,2250,1
523000,3,1.5,4.5,1240,1
628000,4,2,6,2260,1
581000,4,1.75,5.75,2090,1
245000,5,1.75,6.75,2020,1
415000,3,1.75,4.75,1960,1
1895000,5,2.25,7.25,3120,2
225000,3,1.5,4.5,1250,1
287000,3,2.25,5.25,1490,1
799200,6,3,9,2890,2.5
239950,3,1,4,1900,1.5
591000,3,1.75,4.75,1680,1
700000,3,2.5,5.5,2030,2
475000,4,2.5,6.5,3740,1
575000,3,1.75,4.75,1580,1
771000,3,2.25,5.25,1780,1.5
155000,2,1,3,910,1
550000,7,4,11,3440,2
645000,3,2.5,5.5,1740,2
464000,5,2.5,7.5,3400,1
1050000,4,3.25,7.25,4400,2
350000,3,2.5,5.5,2010,2
591000,4,2.25,6.25,2710,2
2555000,4,2.5,6.5,5300,2
717000,3,1.5,4.5,1310,1
225000,4,1.5,5.5,1950,1.5
225000,3,1,4,1040,1
345000,3,1.75,4.75,1090,1
230000,2,0.75,2.75,650,1
385000,3,2,5,1480,1
90000,2,1,3,790,1
860000,4,2.5,6.5,3560,1
675000,4,2.5,6.5,3000,2
975000,4,2.5,6.5,3490,2
780000,3,1.75,4.75,2340,1
370000,3,1.75,4.75,1650,1
665000,3,2,5,1940,1.5
675000,5,3,8,3410,1
620000,3,1,4,1710,1.5
1105000,4,1.5,5.5,2740,2
450000,3,2.75,5.75,1250,2
450000,3,2.25,5.25,2450,1
530000,3,1.75,4.75,1690,1
635000,4,1.75,5.75,1950,1
580000,5,2,7,2290,1
1550000,5,3.25,8.25,3370,1
285000,3,1,4,1090,1
375000,3,1,4,1190,1
1400000,5,4.25,9.25,3530,2
560000,3,1,4,1440,2
405000,4,1.75,5.75,2180,1
413000,4,1,5,1410,1
287600,3,2.5,5.5,1950,2
1680000,5,3.25,8.25,4860,2
225000,3,1,4,1660,1
319000,3,1,4,1390,1
322500,3,2,5,1350,1
570000,3,2,5,1530,1
465000,3,1.5,4.5,1270,1
435000,4,2.25,6.25,2140,2
502000,4,2.5,6.5,2040,2
525000,3,3.5,6.5,2876,2
525000,3,2.5,5.5,1580,2
660000,4,3.5,7.5,3400,2
870000,4,2.5,6.5,3520,2.5
650000,4,2.5,6.5,2210,2
505000,4,2.5,6.5,2790,2
330000,3,2.5,5.5,1450,1
385000,4,1.75,5.75,1620,1
306000,3,1.5,4.5,1220,3
546000,3,1.75,4.75,2000,1
925000,4,2.5,6.5,2190,2.5
542000,4,1.75,5.75,1900,1
800000,3,1,4,1700,1.5
620000,5,2.5,7.5,2540,2
175000,2,1,3,1170,1
740000,5,5,10,5774,1
345000,3,2.25,5.25,2120,2
510000,3,1.75,4.75,2170,1
530000,4,2.75,6.75,2450,1
155000,2,1,3,700,1
266000,3,2.5,5.5,1780,1
257200,3,2,5,1850,1
265000,3,2,5,1570,1
372220,3,1,4,1290,1
337500,5,2,7,1700,1
582500,2,1.5,3.5,1159,1
489200,3,2.75,5.75,1850,1.5
405100,2,1,3,840,1
372977,3,2.5,5.5,1690,2
310000,3,1,4,1050,1
538000,3,1.75,4.75,1400,1.5
1400000,3,2.5,5.5,2550,2
317000,3,2.5,5.5,1840,2
702500,3,1.5,4.5,2360,2
565000,4,2.5,6.5,2240,2
723000,4,2.5,6.5,2700,2
766950,3,2.5,5.5,3030,1.5
682000,3,1.75,4.75,1830,1.5
325000,3,2.5,5.5,2220,2
543000,3,2.5,5.5,2090,1
525000,3,1.75,4.75,1600,1.5
364000,4,1.75,5.75,2010,1
394475,2,1,3,830,1
316000,4,2.5,6.5,2010,2
339950,3,1,4,1050,1.5
486000,4,2.5,6.5,2150,1
160000,3,1,4,860,1
930000,3,2.5,5.5,3100,1
139000,3,1,4,1100,1
562000,3,1.5,4.5,1830,1
299000,2,1.75,3.75,1250,1
511000,3,2.5,5.5,1820,2
499000,3,2,5,2090,1.5
356000,3,3.5,6.5,2100,2
470000,4,2.5,6.5,2310,2
715000,4,2.25,6.25,2060,1
1120000,4,2.25,6.25,4470,2
458000,3,1,4,1660,1
966000,5,4.5,9.5,3810,2
305495,3,1.75,4.75,2110,2
543000,2,2,4,2370,1.5
340000,3,2.25,5.25,1970,2
633100,4,2.5,6.5,2470,2
310000,3,1,4,1480,1
349950,5,3,8,2257,1
267800,2,1,3,700,1
234000,4,2,6,1630,1
740000,4,2.5,6.5,3430,2
607500,5,1.75,6.75,2220,1.5
223000,3,1.75,4.75,1340,1
400000,2,1,3,980,1
802000,3,2.5,5.5,2580,2
253000,4,2.5,6.5,2230,2
1058000,4,2,6,2290,1
300000,3,1,4,1260,1
625000,4,2.75,6.75,1680,1
707000,4,3.25,7.25,3200,2
950000,4,2.5,6.5,3320,2
420000,4,2.5,6.5,3040,2
498000,4,2.75,6.75,2270,1
450000,3,2.5,5.5,2910,2
955000,5,2.25,7.25,2510,2
215000,2,1,3,1240,1
437000,3,2.75,5.75,2580,2
773000,3,2.75,5.75,2470,2
1222500,4,3.5,7.5,4910,1.5
256883,3,2.5,5.5,1690,2
592500,4,2.5,6.5,2240,1
252350,3,2,5,1650,1
370000,4,2.5,6.5,2710,2
465750,3,1.5,4.5,1260,1
185000,3,1,4,1150,1
582800,4,2.75,6.75,2550,1
245000,3,1.75,4.75,1490,1
302000,4,1.75,5.75,2020,1
451555,2,1,3,1320,1
250000,3,1,4,1230,1
255000,4,2.5,6.5,2070,2
840000,4,1.75,5.75,2930,1
190000,3,1,4,1090,1
349950,3,1,4,1400,1
613000,4,2,6,1550,1.5
300000,3,1,4,1220,1
455000,3,2.5,5.5,1870,1
335000,3,2.25,5.25,2150,2
197500,3,1,4,980,1.5
412500,3,1.5,4.5,1490,1
395300,3,1.5,4.5,1120,1
342400,3,2.25,5.25,1180,2
749400,4,2.5,6.5,3240,2
316500,4,2.5,6.5,2150,2
390000,3,2.5,5.5,2240,2
225000,3,2,5,1400,1
550000,3,2.25,5.25,1980,1
280000,3,1,4,1330,1.5
1255000,4,2.5,6.5,3200,2
575000,2,1,3,1490,1
1000000,5,4.25,9.25,3920,2
585000,5,1.75,6.75,2000,2
620000,4,2.5,6.5,2680,2
204700,4,2,6,1670,1
695000,4,3,7,3150,2
689900,4,3.25,7.25,2740,2
375000,4,1.75,5.75,1890,1
475000,7,3.5,10.5,2870,1
215000,3,1,4,1160,1
2100000,4,1.75,5.75,3550,2
790000,3,1.75,4.75,1790,1
350000,3,1.75,4.75,1680,1
695000,3,2.5,5.5,4560,2
263000,3,2.25,5.25,1590,2
400000,3,1,4,1630,1
525000,3,2.5,5.5,2700,2
349950,3,2.5,5.5,1700,2
1085000,4,3.25,7.25,3740,1
744000,4,3,7,1980,2.5
312500,2,1,3,880,1
240000,3,2,5,1400,1
495000,4,2,6,2050,1.5
580050,3,2.5,5.5,2360,2
640000,4,2,6,2560,1
417000,3,1.5,4.5,1340,1
174950,3,1,4,1060,1
295000,3,1.5,4.5,850,1
423000,4,1.75,5.75,1880,1
839000,3,1,4,1230,1
343000,4,1.75,5.75,2290,1
467000,3,1,4,1660,1
512500,3,2.5,5.5,1840,2
575000,4,2.5,6.5,3020,1
465000,3,1.75,4.75,1410,1
270000,3,1,4,1010,1
340000,3,1.75,4.75,1960,1
765000,5,3.75,8.75,3580,2
497000,4,2.5,6.5,2240,2
803100,4,2.5,6.5,3310,2
344000,3,2.5,5.5,1232,3
828950,4,3.5,7.5,3930,2
386380,3,2.5,5.5,1720,2
312000,3,2.25,5.25,1490,2
720000,3,2.5,5.5,3150,2
914500,4,2.5,6.5,3950,3
819995,5,2.75,7.75,3030,2
252700,2,1.5,3.5,1070,1
437500,3,2.5,5.5,2320,2
350000,1,1,2,700,1
619000,3,2.5,5.5,2720,2
408200,3,2.5,5.5,1800,2
451000,3,1.75,4.75,1560,1.5
317000,3,2,5,1760,1
799000,4,3.25,7.25,3120,2
720000,2,1,3,2020,1
490000,3,2,5,1450,1.5
239900,4,2.25,6.25,1860,1
446000,4,2.25,6.25,2270,1
275000,3,2.5,5.5,1480,2
239950,5,1,6,1460,2
248000,4,3.5,7.5,1850,2
619500,3,2.5,5.5,2170,2
363750,3,1.75,4.75,1726,2
385000,3,1.75,4.75,1180,1
370000,4,1.5,5.5,1370,1
425000,3,2.5,5.5,2670,1
342000,3,1,4,1260,1
345000,4,1,5,1980,1.5
724800,3,2,5,2050,1
725000,5,2.75,7.75,2830,2
605000,2,1,3,910,1
350000,4,2.5,6.5,2440,2
785000,3,2,5,2180,1
250000,3,2,5,1900,1
565000,3,2.25,5.25,1520,3
875000,3,2,5,2220,1
862500,4,2.75,6.75,3280,2
400000,3,2.5,5.5,2740,2
282613,2,1,3,830,1
174500,2,1,3,1010,1
306500,3,2.25,5.25,2060,1
445000,3,2.25,5.25,1990,2
433000,4,2.5,6.5,2280,2
306000,3,2.5,5.5,1870,2
